Order,SoilType,Levels,V_Dry_ml,BDUncompressed_gperml,BDUncompressed_gperml_Rounded,AverageBDDry,V_SaturatedCompressed_ml,Mass_SaturatedCompressed_g,ProportionWater,WeightWater_Calculated_g,Mass_CompressedSoil_Calculated_g,BD_SatCompEst_gperml,BD_SatCompEst_Rounded1,BDSatCompEst_gperml_Est2,BD_SatCompEst_Rounded2
1,Fine,L4-L5,10,1.23,1.23,1.2,8.22,19.9,0.41,8.159,11.741,1.428345499,1.43,1.459854015,1.46
1,Fine,L4-L5,10,1.22,1.22,1.2,8.45,20.4,0.41,8.364,12.036,1.424378698,1.42,1.420118343,1.42
1,Fine,L4-L5,10,1.22,1.22,1.2,9.07,20.8,0.41,8.528,12.272,1.353031974,1.35,1.323042999,1.32
1,Fine,L4-L5,10,1.17,1.17,1.2,8.69,20.6,0.41,8.446,12.154,1.398619102,1.4,1.380897583,1.38
1,Fine,L4-L5,10,1.18,1.18,1.2,8.98,20.3,0.41,8.323,11.977,1.333741648,1.33,1.336302895,1.34
2,CoarseA,L2-L5,10,1.454545455,1.45,1.44,8.18,20.1,0.34,6.834,13.266,1.621760391,1.62,1.760391198,1.76
2,CoarseA,L2-L5,10,1.428571429,1.43,1.44,8.48,20.1,0.34,6.834,13.266,1.564386792,1.56,1.698113208,1.7
2,CoarseA,L2-L5,10,1.428571429,1.43,1.44,7.96,20.1,0.34,6.834,13.266,1.666582915,1.67,1.809045226,1.81
2,CoarseA,L2-L5,10,1.454545455,1.45,1.44,8.81,20.1,0.34,6.834,13.266,1.505788876,1.51,1.634506243,1.63
2,CoarseA,L2-L5,10,1.411764706,1.41,1.44,8.54,19.9,0.34,6.766,13.134,1.53793911,1.54,1.68618267,1.69
3,CoarseB,L3-L4,10,1.25,1.25,1.26,8.95,18.2,0.33,6.006,12.194,1.362458101,1.36,1.407821229,1.41
3,CoarseB,L3-L4,10,1.25,1.25,1.26,8.95,18.1,0.33,5.973,12.127,1.354972067,1.35,1.407821229,1.41
3,CoarseB,L3-L4,10,1.25,1.25,1.26,9.25,18.2,0.33,6.006,12.194,1.31827027,1.32,1.362162162,1.36
3,CoarseB,L3-L4,10,1.25,1.25,1.26,8.59,18.5,0.33,6.105,12.395,1.442956927,1.44,1.466821886,1.47
3,CoarseB,L3-L4,10,1.31147541,1.31,1.26,8.55,18.2,0.33,6.006,12.194,1.42619883,1.43,1.473684211,1.47
4,MixA,(L2-L5)-Dredge(50/50),10,1.54,1.54,1.54,7.64,21.6,0.3,6.48,15.12,1.979057592,1.98,2.015706806,2.02
4,MixA,(L2-L5)-Dredge(50/50),10,1.6,1.6,1.54,8.94,22.4,0.3,6.72,15.68,1.753914989,1.75,1.722595078,1.72
4,MixA,(L2-L5)-Dredge(50/50),10,1.48,1.48,1.54,9.32,21.7,0.3,6.51,15.19,1.629828326,1.63,1.652360515,1.65
4,MixA,(L2-L5)-Dredge(50/50),10,1.56,1.56,1.54,8.57,21.4,0.3,6.42,14.98,1.747957993,1.75,1.796966161,1.8
4,MixA,(L2-L5)-Dredge(50/50),10,1.5,1.5,1.54,9.02,22.3,0.3,6.69,15.61,1.73059867,1.73,1.707317073,1.71
5,MixB,(L3-L4)-Dredge(50/50),10,1.538461538,1.54,1.51,9.05,21.9,0.29,6.351,15.549,1.718121547,1.72,1.668508287,1.67
5,MixB,(L3-L4)-Dredge(50/50),10,1.481481481,1.48,1.51,8.93,22,0.29,6.38,15.62,1.749160134,1.75,1.690929451,1.69
5,MixB,(L3-L4)-Dredge(50/50),10,1.578947368,1.58,1.51,9.41,22.3,0.29,6.467,15.833,1.682571732,1.68,1.604675877,1.6
5,MixB,(L3-L4)-Dredge(50/50),10,1.473684211,1.47,1.51,8.97,21.7,0.29,6.293,15.407,1.71761427,1.72,1.683389075,1.68
5,MixB,(L3-L4)-Dredge(50/50),10,1.481481481,1.48,1.51,9.34,22.2,0.29,6.438,15.762,1.6875803,1.69,1.616702355,1.62
6,Dredge,Dredge,10,1.48,1.48,1.56,9.27,21.7,0.26,5.642,16.058,1.732254585,1.73,1.682847896,1.68
6,Dredge,Dredge,10,1.6,1.6,1.56,9.34,21.9,0.26,5.694,16.206,1.735117773,1.74,1.670235546,1.67
6,Dredge,Dredge,10,1.53,1.53,1.56,9.21,22.1,0.26,5.746,16.354,1.77567861,1.78,1.693811075,1.69
6,Dredge,Dredge,10,1.61,1.61,1.56,8.15,22,0.26,5.72,16.28,1.997546012,2,1.914110429,1.91
6,Dredge,Dredge,10,1.59,1.59,1.56,9.31,21.6,0.26,5.616,15.984,1.716863588,1.72,1.675617615,1.68
