Substrate,Al,As,B ,Cd,Ca ,C ,Cu,Fe,Pb,Mg,Mn,Mo ,Ni ,N ,P ,K,Se ,Na,S ,Zn
D,98.643,BDL,15.539,BDL,0.491,40.052,4.885,196.272,BDL,0.208,627.962,BDL,3.088,1.636,0.385,4.188,BDL,"8,661.32",0.47,19.348
D,12.352,BDL,48.983,BDL,0.386,39.986,4.248,56.165,BDL,0.193,383.077,BDL,2.938,1.623,0.37,4.23,BDL,"11,165.13",0.531,18.59
D,28.714,BDL,60.879,BDL,0.473,40.86,4.033,71.614,BDL,0.202,579.205,BDL,2.657,1.501,0.311,4.057,BDL,"8,300.09",0.429,17.705
D,30.804,BDL,29.924,BDL,0.493,41.55,4.286,68.526,BDL,0.239,433.197,BDL,2.315,1.295,0.263,2.789,BDL,"13,390.26",0.492,13.346
D,19.968,BDL,17.475,BDL,0.43,41.95,8.717,57.291,BDL,0.208,340.693,BDL,3.05,1.113,0.196,2.225,BDL,"15,030.22",0.586,14.103
M,26.95,BDL,25.68,BDL,0.352,40.972,8.598,114.122,BDL,0.153,354.194,BDL,1.761,1.492,0.245,3.435,BDL,"6,385.61",0.35,22.963
M,63.936,BDL,37.647,BDL,0.44,41.261,6.423,118.462,BDL,0.162,412.751,BDL,1.647,1.549,0.175,2.76,BDL,"4,817.45",0.334,20.495
M,13.801,BDL,76.959,BDL,0.403,40.643,4.534,61.471,BDL,0.17,359.985,BDL,2.22,1.466,0.219,2.861,BDL,"6,678.75",0.369,16.436
M,40.473,BDL,31.55,BDL,0.416,40.035,3.707,106.204,BDL,0.173,464.503,BDL,1.856,1.466,0.281,3.149,BDL,"7,714.08",0.359,18.661
M,28.964,BDL,21.077,BDL,0.526,39.833,2.736,73.297,BDL,0.207,543.436,BDL,1.687,1.518,0.283,3.093,BDL,"9,819.36",0.431,19.407
G,9.829,BDL,17.411,BDL,0.401,41.046,4.477,49.935,BDL,0.204,51.686,BDL,1.598,1.771,0.232,2.586,BDL,"8,758.26",0.436,29.148
G,16.182,BDL,45.404,BDL,0.375,40.756,4.713,44.989,BDL,0.194,99.949,BDL,1.129,1.389,0.207,2.419,BDL,"13,020.88",0.353,28.009
G,10.444,BDL,9.104,BDL,0.348,41.73,3.599,47.466,BDL,0.178,52.296,BDL,1.4,1.365,0.217,2.306,BDL,"11,486.39",0.361,17.84
G,27.336,BDL,13.542,BDL,0.364,41.576,7.96,47.703,BDL,0.185,71.082,BDL,2.38,1.215,0.165,1.878,BDL,"16,451.72",0.34,20.362
G,90.815,BDL,35.875,BDL,0.447,40.124,6.131,93.944,BDL,0.191,136.945,BDL,1.508,1.45,0.161,2.24,BDL,"12,191.43",0.371,18.532
